NO,共通ID,都道府県名及び市町村名,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
46992,E2020100198201,長野県長野市,長野市立川中島小学校,長野県長野市川中島町上氷鉋172,1,1,,1,,,,,1,36.60953191,138.1521804,
46993,E2020100199201,長野県長野市,氷鉋公園,長野県長野市川中島町上氷鉋747-1,,1,,1,,,,,,36.60948631,138.1623168,
46994,E2020100200201,長野県長野市,長野市立浅川小学校,長野県長野市浅川東条337,1,1,,1,,,,,1,36.68189607,138.2038613,
46995,E2020100201201,長野県長野市,和平地区センター,長野県長野市大岡乙1630,1,,,,,,,,1,36.51505998,137.9779741,
46996,E2020100202201,長野県長野市,大岡文化センター（大岡公民館）,長野県長野市大岡乙252-1,1,1,,1,,,,,1,36.50619499,137.9885136,
46997,E2020100203201,長野県長野市,根越地区センター,長野県長野市大岡乙5494,1,,,,,,,,1,36.49566086,137.9599432,
46998,E2020100204201,長野県長野市,中部地区センター,長野県長野市大岡乙793-3,1,1,,,,,,,1,36.50278975,137.9786943,
46999,E2020100205201,長野県長野市,健大岡神社,長野県長野市大岡甲4731,1,1,,1,,,,,,36.532852,137.967196,
47000,E2020100206201,長野県長野市,四ヶ村地区センター,長野県長野市大岡甲6945-2,1,,,,,,,,1,36.52117947,137.9826812,
47001,E2020100207201,長野県長野市,大岡活性化センター,長野県長野市大岡甲7626-1,1,1,,1,,,,,1,36.51664054,137.991636,
47002,E2020100208201,長野県長野市,中牧地区センター,長野県長野市大岡中牧1172-1,1,,,,,,,,1,36.52225069,138.0095338,
47003,E2020100209201,長野県長野市,笹久地区センター,長野県長野市大岡丙3366,1,1,,,,,,,1,36.47691006363,137.97820498995,
47004,E2020100210201,長野県長野市,芦ノ尻地区センター,長野県長野市大岡丙4080,1,1,,,,,,,1,36.48826055,137.976013,
47005,E2020100211201,長野県長野市,犀川緑地,長野県長野市大字安茂里,,,,1,,1,,,,36.624823490301,138.17609799294,
47006,E2020100212201,長野県長野市,長野市立安茂里小学校,長野県長野市大字安茂里1158,1,1,,1,,,,,1,36.639036062506,138.17092905553,
47007,E2020100213201,長野県長野市,裾花体育館,長野県長野市大字安茂里1778-1,1,1,,1,,,,,1,36.63680977,138.1724203,
47008,E2020100214201,長野県長野市,長野市立裾花中学校,長野県長野市大字安茂里2069,1,1,,1,,,,,1,36.63378841194,138.17593979262,
47009,E2020100215201,長野県長野市,長野市立古里小学校,長野県長野市大字金箱439-2,,1,,1,,,,,1,36.67655554,138.2458407,
47010,E2020100216201,長野県長野市,長野市立芹田小学校,長野県長野市大字栗田16-2,1,1,,1,,,,,1,36.633304092094,138.19958998876,
47011,E2020100217201,長野県長野市,長野駅東口公園,長野県長野市大字栗田2121,,1,,1,,,,,,36.64153844516,138.19177601526,
47012,E2020100218201,長野県長野市,清泉大学・清泉大学短期大学部　長野駅東口キャンパス　１階テラス・２階ロビー,長野県長野市大字栗田2277,1,1,,1,,,,,1,36.64327,138.1907,
47013,E2020100305201,長野県長野市,上高田南向塚公園,長野県長野市大字高田1220-1,,1,,1,,,,,,36.639296,138.211629,
47014,E2020100219201,長野県長野市,長野市立三陽中学校,長野県長野市大字高田1607,1,1,,1,,,,,1,36.644345749837,138.22652110597,
47015,E2020100220201,長野県長野市,長野市立緑ケ丘小学校,長野県長野市大字高田2281,1,1,,1,,,,,1,36.64066468,138.223369,
47016,E2020100221201,長野県長野市,三重公園,長野県長野市大字高田487,,1,,1,,,,,,36.65015,138.21250833,
47017,E2020100222201,長野県長野市,長野市立古牧小学校,長野県長野市大字高田619-2,1,1,,1,,,,,1,36.647605531754,138.21871816443,
47018,E2020100223201,長野県長野市,長野市立櫻ケ岡中学校,長野県長野市大字高田932,1,1,,1,,,,,1,36.64484659,138.2047019,
47019,E2020100224201,長野県長野市,長野市立芋井小学校,長野県長野市大字桜600-6,1,,,1,,,,,1,36.67917161,138.1493272,
47020,E2020100224202,長野県長野市,旧芋井中学校,長野県長野市大字桜600-6,1,,,1,,,,,1,36.67840468,138.1495097,
47021,E2020100225201,長野県長野市,北部スポーツ・レクリエーションパーク,長野県長野市大字三才1981-1,1,1,,1,,,,,1,36.68931944,138.24286666,
47022,E2020100226201,長野県長野市,長野市立柳町中学校,長野県長野市大字三輪1252,1,1,,1,,,,,1,36.65575403,138.1982736,
47023,E2020100227201,長野県長野市,旧小田切小学校（青少年錬成センター分館）,長野県長野市大字山田中2574,1,1,,1,,,,,1,36.644049336481,138.11896284048,
47024,E2020100228201,長野県長野市,長野市立若槻小学校,長野県長野市大字若槻東条810,1,,,1,,,,,1,36.686086406009,138.22454626731,
47025,E2020100229201,長野県長野市,長野市立柳原小学校,長野県長野市大字小島702,,1,,1,,,,,1,36.66536758,138.2543443,
47026,E2020100230201,長野県長野市,アソビーバナガノパーク,長野県長野市大字上ケ屋2471-79,1,1,,1,,,,,1,36.701281365741,138.13594264934,
47027,E2020100231201,長野県長野市,長野市立加茂小学校,長野県長野市大字西長野185-6,1,1,,1,,,,,1,36.65751141,138.1764597,
47028,E2020100232201,長野県長野市,長野市立犀陵中学校,長野県長野市大字川合新田202-1,1,1,,1,,,,,1,36.62424863,138.2114259,
47029,E2020100233201,長野県長野市,長野市立東北中学校,長野県長野市大字大町945,,1,,1,,,,,1,36.67662084,138.2596909,
47030,E2020100234201,長野県長野市,長野市立大豆島小学校,長野県長野市大字大豆島1004-2,1,1,,1,,,,,1,36.63168634,138.2273142,
47031,E2020100235201,長野県長野市,大豆島公民館,長野県長野市大字大豆島1054-1,,1,,1,,,,,1,36.63136388,138.22532222,
47032,E2020100236201,長野県長野市,大豆島公園,長野県長野市大字大豆島1063-1,,1,,1,,,,,,36.632318046011,138.22639165075,
47033,E2020100237201,長野県長野市,大豆島体育館,長野県長野市大字大豆島1144-1,,1,,1,,,,,1,36.63360555,138.22838611,
47034,E2020100238201,長野県長野市,長野県長野東高等学校,長野県長野市大字大豆島2743-1,,1,,1,,,,,,36.63921192,138.2443478,
47035,E2020100239201,長野県長野市,東部浄化センター４階会議室,長野県長野市大字大豆島4330,1,,,,,,,,,36.62950280407,138.24090426246,
47036,E2020100240201,長野県長野市,長野市立山王小学校,長野県長野市大字中御所30-1,,1,,1,,,,,1,36.646950911962,138.18110705094,
47037,E2020100241201,長野県長野市,ひまわり公園,長野県長野市大字長野旭町1108-10,,1,,1,,,,,,36.65470572,138.1824138,
47038,E2020100242201,長野県長野市,長野市立城山小学校,長野県長野市大字長野東之門町404-1,1,1,,1,,,,,1,36.659747853695,138.18910837106,
47039,E2020100243201,長野県長野市,長野市立長沼小学校,長野県長野市大字津野191,,1,,1,,,,,1,36.68875291,138.2670074,
47040,E2020100244201,長野県長野市,長野市立南部小学校,長野県長野市大字鶴賀550-1,1,1,,1,,,,,1,36.64065717,138.2006671,
47041,E2020100245201,長野県長野市,教育センター,長野県長野市大字鶴賀550-2,1,1,,1,,,,,1,36.64130161918,138.19927389626,
47042,E2020100246201,長野県長野市,長野市立鍋屋田小学校,長野県長野市大字鶴賀上千歳町1365-2,1,1,,1,,,,,1,36.649963857389,138.18951939138,
47043,E2020100247201,長野県長野市,セントラルスクゥエア,長野県長野市大字鶴賀問御所町1307-1,,1,,1,,,,,,36.65192,138.18772,
47044,E2020100248202,長野県長野市,多目的（防災）広場,長野県長野市大字鶴賀緑町1613,1,1,,1,,,,,,36.648678113735,138.19415542936,
47045,E2020100248201,長野県長野市,長野市芸術館,長野県長野市大字鶴賀緑町1613,1,1,,1,,,,,,36.648523882346,138.1954487128,
47046,E2020100249201,長野県長野市,長野日本大学中学・高等学校第１グラウンド,長野県長野市大字東和田字中道253-3,,1,,1,,,,,,36.65789149,138.2222221,
47047,E2020100250201,長野県長野市,長野市立長野中学校・高等学校,長野県長野市大字徳間1133,,1,,1,,,,,1,36.6803616,138.2350094,
47048,E2020100251201,長野県長野市,長野市立徳間小学校,長野県長野市大字徳間570,1,1,,1,,,,,1,36.67640238,138.2278137,
47049,E2020100252201,長野県長野市,長野工業高等専門学校グラウンド,長野県長野市大字徳間716,,1,,1,,,,,,36.67690333,138.2338947,
47050,E2020100253201,長野県長野市,長野県立大学後町キャンパス運動場,長野県長野市大字南長野西後町614-1,,1,,1,,,,,1,36.652215564092,138.18514545483,
47051,E2020100253202,長野県長野市,後町ホール（中部公民館分室）,長野県長野市大字南長野西後町614-1,,1,,1,,,,,1,36.651829,138.185672,
47052,E2020100254201,長野県長野市,信州大学教育学部附属長野中学校,長野県長野市大字南堀109,,1,,1,,,,,1,36.663670559803,138.24619462664,
47053,E2020100255201,長野県長野市,信州大学教育学部附属長野小学校,長野県長野市大字南堀77-1,,1,,1,,,,,1,36.66321111,138.24886388,
47054,E2020100256201,長野県長野市,長野市立芋井小学校第一分校（休校中）,長野県長野市大字入山753,1,,,1,,,,,1,36.67964066,138.120348,
47055,E2020100257201,長野県長野市,穂保高台避難公園,長野県長野市大字穂保573-1,,1,,1,,,,,,36.68399444,138.26494722,
47056,E2020100258201,長野県長野市,長野市立朝陽小学校,長野県長野市大字北長池1406,,1,,1,,,,,1,36.65314539,138.2429097,
47057,E2020100259201,長野県長野市,長野市オリンピック記念アリーナ　（エムウェーブ）,長野県長野市大字北長池195,1,1,,1,,,,,,36.64132473,138.2407968,
47058,E2020100260201,長野県長野市,長野市立裾花小学校,長野県長野市中御所5-6-1,,1,,1,,,,,1,36.63182608378,138.18109033886,
47059,E2020100261201,長野県長野市,宮遺跡公園,長野県長野市中条2097-1,1,,,1,,,,,,36.60623292,138.0296806,
47060,E2020100262201,長野県長野市,中央区分館,長野県長野市中条2105-1,1,,,,,,,,1,36.606588128636,138.03005695374,
47061,E2020100263201,長野県長野市,長野市立中条中学校,長野県長野市中条2328,1,1,,1,,,,,1,36.60620039,138.0334792,
47062,E2020100264201,長野県長野市,中条体育館,長野県長野市中条2328-2,,1,,1,,,,,1,36.606752358813,138.0339353959,
47063,E2020100265201,長野県長野市,長野県長野西高等学校中条校,長野県長野市中条2378-1,1,1,,1,,,,,1,36.60756406,138.034677,
47064,E2020100266201,長野県長野市,中条交流センター,長野県長野市中条2383-1,1,1,,1,,,,,1,36.607079,138.034277,
47065,E2020100267201,長野県長野市,長野市立中条小学校,長野県長野市中条2770,1,1,,1,,,,,1,36.609871669724,138.03167354392,
47066,E2020100268201,長野県長野市,中央区月夜棚生活センター,長野県長野市中条4134-1,1,,,1,,,,,1,36.613603470173,138.03202299889,
47067,E2020100270201,長野県長野市,田の入公民館,長野県長野市中条御山里4120-1,1,,,,,,,,1,36.6268097,138.0192629,
47068,E2020100271201,長野県長野市,旧御山里小学校,長野県長野市中条御山里6671-1,1,,,1,,,,,,36.63501802,138.0161376,
47069,E2020100272201,長野県長野市,伊折区太田公民館,長野県長野市中条御山里7713-1,1,,,,,,,,1,36.640591674747,138.01066048639,
47070,E2020100273201,長野県長野市,伊折区新井公民館,長野県長野市中条御山里8947,1,,,,,,,,1,36.636145120312,138.00484009282,
47071,E2020100274201,長野県長野市,地京原振興館,長野県長野市中条御山里988-1,1,,,,,,,,1,36.634490062442,138.02548171368,
47072,E2020100275201,長野県長野市,道の駅「中条」ふるさと広場,長野県長野市中条住良木1704,1,,,1,,,,,,36.60375741,138.0156637,
47073,E2020100276201,長野県長野市,峰奈良井生活センター,長野県長野市中条住良木4292,1,,,,,,,,1,36.625374761556,138.0060961881,
47074,E2020100278201,長野県長野市,青木農業振興館,長野県長野市中条住良木501,1,,,,,,,,1,36.606854375199,138.02245177655,
47075,E2020100279201,長野県長野市,鳥々見生活センター,長野県長野市中条住良木5732-1,1,,,1,,,,,1,36.61575269,138.0058776,
47076,E2020100280201,長野県長野市,大野生活センター（大野公民館）,長野県長野市中条住良木6903,1,,,,,,,,1,36.606487077005,138.00615724541,
47077,E2020100281201,長野県長野市,住良木団地公民館,長野県長野市中条住良木8383-2,1,1,,1,,,,,1,36.605244088198,138.01056612958,
47078,E2020100282201,長野県長野市,田頭生活センター（田頭公民館）,長野県長野市中条住良木8981-1,1,,,,,,,,1,36.60712131,138.0130016,
47079,E2020100283201,長野県長野市,里原生活センター,長野県長野市中条住良木9901,1,1,,1,,,,,1,36.6157443,138.0166795,
47080,E2020100277201,長野県長野市,奈良井会館,長野県長野市中条住良木４４６３－イ,1,,,,,,,,1,36.619780975157,138.00540555943,
47081,E2020100284201,長野県長野市,念仏寺生活センター,長野県長野市中条日下野3198-3,1,,,,,,,,1,36.641247701258,138.05464206722,
47082,E2020100285201,長野県長野市,中条地域振興施設やきもち家,長野県長野市中条日下野5286-1,1,,,1,,,,,1,36.64329896,138.0389312,
47083,E2020100286201,長野県長野市,中内公民館,長野県長野市中条日下野670-2,1,,,,,,,,1,36.62481417,138.0492721,
47084,E2020100287201,長野県長野市,下条生活センター,長野県長野市中条日下野7558,1,,,1,,,,,1,36.62767187,138.04018,
47085,E2020100288201,長野県長野市,五十里ふれあいセンター,長野県長野市中条日高1529-1,1,,,1,,,,,1,36.61298018,138.0575034,
47086,E2020100289201,長野県長野市,下長井公民館,長野県長野市中条日高3291-1,1,,,1,,,,,1,36.60416567,138.0508663,
47087,E2020100290201,長野県長野市,中長井振興館,長野県長野市中条日高3716-2,1,1,,,,,,,1,36.60703567,138.0450819,
47088,E2020100291201,長野県長野市,中条老人福祉センター,長野県長野市中条日高3964-2,1,1,,1,,,,,1,36.611976910565,138.04076430037,
47089,E2020100292201,長野県長野市,上長井支館（上長井生活センター）,長野県長野市中条日高5637-2,1,,,,,,,,1,36.59738236,138.034515,
47090,E2020100293201,長野県長野市,県庁本館北側広場（憩いの広場）,長野県長野市南長野字幅下692-2,,1,,1,,,,,,36.65081333,138.1813966,
47091,E2020100294201,長野県長野市,城山公園,長野県長野市箱清水1-7-1,1,1,,1,,1,,,,36.66220757,138.1901898,
47092,E2020100295201,長野県長野市,長野県長野西高等学校,長野県長野市箱清水3-8-5,1,1,,1,,,,,,36.66498565,138.1835511,
47093,E2020100296201,長野県長野市,豊野東部地区集会所,長野県長野市豊野町蟹沢2758,,1,,1,,,,,1,36.72163507,138.304493,
47094,E2020100297201,長野県長野市,長野市立豊野西小学校,長野県長野市豊野町石1880,,1,,1,,,,,1,36.70890775,138.2632965,
47095,E2020100298201,長野県長野市,長野市立豊野東小学校,長野県長野市豊野町大倉2213,1,1,,1,,,,,1,36.72817618,138.2936054,
47096,E2020100306201,長野県長野市,豊野防災交流センター,長野県長野市豊野町豊野426-28,,1,,1,,,,,1,36.708659,138.276983,
47097,E2020100300201,長野県長野市,豊野体育館,長野県長野市豊野町豊野624,,1,,1,,,,,1,36.71231933,138.2816947,
47098,E2020100301201,長野県長野市,長野市立豊野中学校,長野県長野市豊野町豊野814,,1,,1,,,,,1,36.712741102613,138.2823915478,
47099,E2020100302201,長野県長野市,長野県長野盲学校,長野県長野市北尾張部321,1,1,,1,,,,,,36.65635264,138.2387107,
106220,E4320300001201,熊本県人吉市,中原コミュニティセンター,熊本県人吉市下原田町荒毛2136,1,1,1,1,1,1,1,1,,32.23171569,130.7243576,
106221,E4320300034201,熊本県人吉市,中原コミュニティセンター,熊本県人吉市下原田町字荒毛2136,1,1,1,1,1,1,1,1,1,32.23171569,130.7243576,
106222,E4320300004201,熊本県人吉市,西瀬小学校グラウンド,熊本県人吉市下戸越町1654-1,1,1,1,1,1,1,1,1,1,32.205572,130.736632,
106223,E4320300004202,熊本県人吉市,西瀬小学校,熊本県人吉市下戸越町1654-1,1,,1,1,1,1,1,1,1,32.206405,130.736667,
106224,E4320300006201,熊本県人吉市,人吉スポーツパレス,熊本県人吉市下城本町1566-1,1,1,1,1,1,1,1,1,1,32.21811533,130.7391314,
106225,E4320300007201,熊本県人吉市,カルチャーパレス,熊本県人吉市下城本町1578-1,1,1,1,1,1,1,1,1,,32.21621412,130.7395713,
106226,E4320300008202,熊本県人吉市,東間コミュニティセンター,熊本県人吉市蟹作町1531-1,1,1,1,1,1,1,1,1,1,32.19618772,130.7755376,
106227,E4320300008201,熊本県人吉市,川上哲治記念球場,熊本県人吉市蟹作町1531-1,1,1,1,1,1,1,1,1,1,32.197378,130.775517,
106228,E4320300011201,熊本県人吉市,中小企業大学校グラウンド,熊本県人吉市鬼木町1769-1,1,1,1,1,1,1,1,1,1,32.229309,130.777083,
106229,E4320300012201,熊本県人吉市,梢山地区多目的グラウンド,熊本県人吉市鬼木町1769-15,1,1,1,1,1,1,1,1,,32.230209,130.779006,
106230,E4320300015201,熊本県人吉市,西瀬コミュニティセンター鹿目分館,熊本県人吉市鹿目町2515,1,1,1,,1,1,1,1,1,32.19031104,130.6890843,
106231,E4320300016201,熊本県人吉市,人吉東小学校,熊本県人吉市七日町100-1,1,1,1,1,1,1,1,1,1,32.2161696421823,130.766161803001,
106232,E4320300035202,熊本県人吉市,人吉第一市民運動広場,熊本県人吉市上原田町字牛塚1883-1,,1,1,1,1,1,1,1,,32.232907,130.740703,
106233,E4320300018201,熊本県人吉市,第三中学校,熊本県人吉市上田代町2008,1,1,1,1,1,1,1,1,1,32.1678631334136,130.803967450961,
106234,E4320300019201,熊本県人吉市,第二中学校,熊本県人吉市上林町622,1,1,1,1,1,1,1,1,1,32.2220635899078,130.744494472988,
106235,E4320300020201,熊本県人吉市,東西コミュニティセンター,熊本県人吉市城本町1088,,1,1,1,1,1,1,1,,32.21902081,130.7599089,
106236,E4320300021201,熊本県人吉市,球磨工業高校グラウンド,熊本県人吉市城本町800,1,1,1,1,1,1,1,1,1,32.22010185,130.7530179,
106237,E4320300022201,熊本県人吉市,人吉西小学校,熊本県人吉市城本町873,1,1,1,1,1,1,1,1,1,32.2192837416634,130.754454459995,
106238,E4320300038201,熊本県人吉市,人吉市保健センター,熊本県人吉市西間下町118-1,1,1,1,1,1,1,1,1,1,32.205739,130.759317,
106239,E4320300025201,熊本県人吉市,大畑コミュニティセンター,熊本県人吉市大畑町4071-2,1,1,1,1,1,1,1,1,1,32.16311136,130.8021827,
106240,E4320300026201,熊本県人吉市,大畑小学校,熊本県人吉市大畑町4097,1,1,1,1,1,1,1,1,1,32.1627636087486,130.803153047577,
106241,E4320300037201,熊本県人吉市,中原小学校,熊本県人吉市中神町字段548,1,1,1,1,1,1,1,1,1,32.22480555,130.7195342,
106242,E4320300028201,熊本県人吉市,田野活性化センター,熊本県人吉市田野町3392-2,1,1,1,1,1,1,1,1,1,32.13821225,130.6822905,
106243,E4320300029201,熊本県人吉市,第一中学校,熊本県人吉市土手町36-3,1,1,1,1,1,1,1,1,1,32.2079236455698,130.759861988962,
106244,E4320300030202,熊本県人吉市,東間小学校,熊本県人吉市東間下町2683,1,,1,1,1,1,1,1,1,32.203725,130.766611,
106245,E4320300030201,熊本県人吉市,東間小学校グラウンド,熊本県人吉市東間下町2683,1,1,1,1,1,1,1,1,1,32.203079,130.766608,
106246,E4320300032201,熊本県人吉市,人吉高校グラウンド,熊本県人吉市北泉田町350,1,1,1,1,1,1,1,1,1,32.220316,130.769041,
106247,E4320300033201,熊本県人吉市,人吉城跡ふるさと歴史の広場,熊本県人吉市麓町22-1,,1,1,1,1,1,1,1,,32.211099,130.762739,
