NO,共通ID,都道府県名及び市町村名,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
36008,E2020100056111,長野県長野市,坪山ふれあいセンター,長野県長野市戸隠祖山2424-3,1,,,36.66280592,138.096638,
36009,E2020100058111,長野県長野市,ふるさとセンター,長野県長野市戸隠祖山31-1,1,,,36.671983778739,138.07797506529,
36010,E2020100059111,長野県長野市,上組公会堂,長野県長野市戸隠祖山5219-2,1,,,36.66556082,138.0619148,
36011,E2020100060111,長野県長野市,上祖山振興館,長野県長野市戸隠祖山5704-1,1,,,36.66736655,138.0578745,
36012,E2020100061111,長野県長野市,西部公会堂,長野県長野市戸隠祖山6999-2,1,,,36.67014461,138.0503763,
36013,E2020100062111,長野県長野市,今井公会堂,長野県長野市戸隠栃原1162,1,,,36.69483758,138.0672058,
36014,E2020100063111,長野県長野市,福平生活改善センター,長野県長野市戸隠栃原1912-4,1,,,36.68926501,138.0640566,
36015,E2020100065111,長野県長野市,倉平生活改善センター,長野県長野市戸隠栃原249-1,1,,,36.68491381,138.0767191,
36016,E2020100066111,長野県長野市,平多目的集会所,長野県長野市戸隠栃原2549-1,1,,,36.68679675,138.0690556,
36017,E2020100067111,長野県長野市,解藁神社（町組集会所）,長野県長野市戸隠栃原2710-1,1,,,36.68845278,138.0714509,
36018,E2020100068111,長野県長野市,清水集会所,長野県長野市戸隠栃原3103-2,1,,,36.68264369,138.0687154,
36019,E2020100070111,長野県長野市,志垣生活改善センター,長野県長野市戸隠栃原4144-2,1,,,36.67351577,138.0743339,
36020,E2020100071111,長野県長野市,戸隠体育館,長野県長野市戸隠栃原4788-2,1,,,36.67646743,138.0682019,
36021,E2020100072111,長野県長野市,長野市立戸隠公民館,長野県長野市戸隠栃原4789,1,,,36.67662228,138.0675456,
36022,E2020100073111,長野県長野市,五十土生活改善センター,長野県長野市戸隠栃原5276,1,,,36.68570145,138.0625339,
36023,E2020100074111,長野県長野市,笹原公会堂,長野県長野市戸隠栃原5983,1,,,36.68709884,138.0554293,
36024,E2020100075111,長野県長野市,田頭改善センター,長野県長野市戸隠栃原7084,1,,,36.68160647,138.0530239,
36025,E2020100076111,長野県長野市,西条公民館,長野県長野市戸隠栃原7532,1,,,36.68123034,138.0579907,
36026,E2020100077111,長野県長野市,追通生活改善センター,長野県長野市戸隠栃原8868-1,1,,,36.67455077,138.0533093,
36027,E2020100078111,長野県長野市,戸隠裾花デイサービスセンター,長野県長野市戸隠栃原9246-1,1,,,36.67218055,138.04815555,
36028,E2020100064111,長野県長野市,針立組集会所,長野県長野市戸隠栃原２０１９－ロ,1,,,36.69151388,138.06822777,
36029,E2020100079111,長野県長野市,中耕生活改善センター,長野県長野市戸隠豊岡10328-1,1,,,36.702178548006,138.10152372357,
36030,E2020100080111,長野県長野市,銚子口生活改善センター,長野県長野市戸隠豊岡10392-4,1,,,36.69445123,138.1054018,
36031,E2020100081111,長野県長野市,二条生活改善センター,長野県長野市戸隠豊岡1226-5,1,,,36.70642873,138.0866096,
36032,E2020100082111,長野県長野市,馬場生活改善センター,長野県長野市戸隠豊岡1521-2,1,,,36.703834391231,138.09082707403,
36033,E2020100083111,長野県長野市,長野市立戸隠小学校,長野県長野市戸隠豊岡1531,1,,,36.703384738599,138.08894581942,
36034,E2020100084111,長野県長野市,中央生活改善センター,長野県長野市戸隠豊岡1533-7,1,,,36.702891736253,138.0884929241,
36035,E2020100085111,長野県長野市,戸隠農村環境改善センター,長野県長野市戸隠豊岡1550-1,1,,,36.70224152,138.0888516,
36036,E2020100086111,長野県長野市,和沢生活改善センター,長野県長野市戸隠豊岡2251-4,1,,,36.70279426,138.0918455,
36037,E2020100087111,長野県長野市,中村公会堂,長野県長野市戸隠豊岡2488,1,,,36.70233287,138.0955909,
36038,E2020100088111,長野県長野市,長野市立戸隠中学校,長野県長野市戸隠豊岡2960,1,,,36.699767466096,138.09367817691,
36039,E2020100089111,長野県長野市,横道公会堂,長野県長野市戸隠豊岡3146-3,1,,,36.69637807,138.0882011,
36040,E2020100090111,長野県長野市,上楡木生活改善センター,長野県長野市戸隠豊岡3301-4,1,,,36.6949993,138.0870097,
36041,E2020100091111,長野県長野市,原生活改善センター,長野県長野市戸隠豊岡336-4,1,,,36.70880959,138.0957503,
36042,E2020100092111,長野県長野市,東原生活改善センター,長野県長野市戸隠豊岡4166,1,,,36.6889934,138.0960709,
36043,E2020100093111,長野県長野市,猿丸生活改善センター,長野県長野市戸隠豊岡4494-1,1,,,36.68371521,138.0966942,
36044,E2020100094111,長野県長野市,川下生活改善センター,長野県長野市戸隠豊岡4785,1,,,36.67175894,138.0981954,
36045,E2020100095111,長野県長野市,川手区活性化支援センター（川手記念館）,長野県長野市戸隠豊岡6054-2,1,,,36.67531833,138.078288,
36046,E2020100096111,長野県長野市,日照田生活改善センター,長野県長野市戸隠豊岡6087-2,1,,,36.67674743,138.0790325,
36047,E2020100097111,長野県長野市,折橋公会堂,長野県長野市戸隠豊岡6985,1,,,36.68865331,138.0800015,
36048,E2020100098111,長野県長野市,下楠川生活改善センター,長野県長野市戸隠豊岡7541,1,,,36.707270689693,138.07669183253,
36049,E2020100100111,長野県長野市,西部区活性化促進センター,長野県長野市戸隠豊岡8254,1,,,36.70142472,138.072794,
36050,E2020100101111,長野県長野市,奈良尾公会堂,長野県長野市戸隠豊岡9027,1,,,36.69922728,138.0715833,
36051,E2020100099111,長野県長野市,尾上生活改善センター,長野県長野市戸隠豊岡７７９－イ,1,,,36.711099308361,138.08847760657,
36052,E2020100102111,長野県長野市,母袋公会堂,長野県長野市戸隠豊岡９４７３－ロ,1,,,36.70079928,138.0661213,
36053,E2020100107111,長野県長野市,長野市立三本柳小学校,長野県長野市三本柳東2-1,1,,,36.618650592884,138.1664791756,
36054,E2020100108111,長野県長野市,長野市立城東小学校,長野県長野市三輪6-14-30,1,,,36.657176134923,138.19814495574,
36055,E2020100109111,長野県長野市,長野市立三輪小学校,長野県長野市三輪8-3-2,1,,,36.662501738917,138.20280585051,
36056,E2020100110111,長野県長野市,三輪体育館,長野県長野市三輪8-43-17,1,,,36.66460555,138.19686111,
36057,E2020100111111,長野県長野市,長野県立大学三輪キャンパス,長野県長野市三輪8-49-7,1,,,36.665966,138.200529,
36058,E2020100113111,長野県長野市,教育支援センターＳａＳａＬＡＮＤ,長野県長野市七二会己14-4,1,,,36.61119488,138.0831126,
36059,E2020100114111,長野県長野市,長野市立七二会小学校,長野県長野市七二会丁220,1,,,36.627593064791,138.078740995,
36060,E2020100115111,長野県長野市,旧七二会中学校,長野県長野市七二会丁227,1,,,36.628943858528,138.07912216792,
36061,E2020100116111,長野県長野市,長野市立塩崎小学校,長野県長野市篠ノ井塩崎3333,1,,,36.55102733,138.1155528,
36062,E2020100117111,長野県長野市,塩崎体育館,長野県長野市篠ノ井塩崎5268,1,,,36.557570268589,138.11765160112,
36063,E2020100118111,長野県長野市,篠ノ井体育館,長野県長野市篠ノ井岡田2059-1,1,,,36.58597356,138.1308477,
36064,E2020100121111,長野県長野市,長野市立通明小学校,長野県長野市篠ノ井御幣川270,1,,,36.57200787,138.1383125,
36065,E2020100123111,長野県長野市,篠ノ井村山健康スポーツセンター,長野県長野市篠ノ井山布施8282,1,,,36.61554332,138.0955615,
36066,E2020100124111,長野県長野市,小松原体育館,長野県長野市篠ノ井小松原1056-2,1,,,36.614312765537,138.13577951673,
36067,E2020100126111,長野県長野市,長野市立共和小学校,長野県長野市篠ノ井小松原600,1,,,36.60045156,138.1361585,
36068,E2020100128111,長野県長野市,長野市立篠ノ井東中学校,長野県長野市篠ノ井小森840,1,,,36.571686636285,138.15699430885,
36069,E2020100129111,長野県長野市,長野市立篠ノ井東小学校,長野県長野市篠ノ井東福寺1538,1,,,36.57936078,138.1777269,
36070,E2020100131111,長野県長野市,南長野運動公園,長野県長野市篠ノ井東福寺320,1,,,36.5805352,138.167282,
36071,E2020100132111,長野県長野市,長野市立篠ノ井西小学校,長野県長野市篠ノ井二ツ柳488,1,,,36.57241001,138.1255606,
36072,E2020100133111,長野県長野市,長野市立篠ノ井西中学校,長野県長野市篠ノ井布施五明380,1,,,36.57708136,138.1326258,
36073,E2020100134111,長野県長野市,長野県篠ノ井高等学校,長野県長野市篠ノ井布施高田1161-2,1,,,36.583320570077,138.14157173853,
36074,E2020100136111,長野県長野市,長野市立信里小学校,長野県長野市篠ノ井有旅3692,1,,,36.59023192,138.1020254,
36075,E2020100139111,長野県長野市,長野市立川田小学校,長野県長野市若穂川田2020,1,,,36.603729432944,138.24100599894,
36076,E2020100141111,長野県長野市,長野市立若穂中学校,長野県長野市若穂川田503,1,,,36.605167960933,138.25085878854,
36077,E2020100142111,長野県長野市,長野市立保科小学校,長野県長野市若穂保科2646,1,,,36.58718263,138.2655248,
36078,E2020100143111,長野県長野市,長野市立綿内小学校,長野県長野市若穂綿内6656,1,,,36.622081986999,138.26157171262,
36079,E2020100147111,長野県長野市,長野市立寺尾小学校,長野県長野市松代町柴260,1,,,36.59226352,138.1994812,
36080,E2020100148111,長野県長野市,長野市立松代小学校,長野県長野市松代町松代205-1,1,,,36.56375193,138.1952094,
36081,E2020100149111,長野県長野市,長野市立松代中学校,長野県長野市松代町松代207,1,,,36.568676510741,138.19909917864,
36082,E2020100151111,長野県長野市,旧清野小学校,長野県長野市松代町清野64,1,,,36.56233963,138.1743128,
36083,E2020100153111,長野県長野市,松代体育館,長野県長野市松代町西条3838,1,,,36.5530522,138.2027866,
36084,E2020100154111,長野県長野市,長野市立西条小学校,長野県長野市松代町西条4,1,,,36.549017456438,138.1993366411,
36085,E2020100155111,長野県長野市,長野県松代高等学校,長野県長野市松代町西条4065,1,,,36.55456747,138.2055017,
36086,E2020100156111,長野県長野市,長野県農業大学校,長野県長野市松代町大室3700,1,,,36.584390802589,138.22142618249,
36087,E2020100157111,長野県長野市,長野市立東条小学校,長野県長野市松代町東条2427,1,,,36.56234944,138.2127257,
36088,E2020100158111,長野県長野市,長野市立豊栄小学校,長野県長野市松代町豊栄2787,1,,,36.54297827,138.2303289,
36089,E2020100160111,長野県長野市,長野市立湯谷小学校,長野県長野市上松4-28-38,1,,,36.674693114131,138.2026341602,
36090,E2020100162111,長野県長野市,昭和の森公園フィットネスセンター,長野県長野市上野2-120-13,1,,,36.68537499,138.23486666,
36091,E2020100163111,長野県長野市,長野市信更公民館分室（／星空の郷たかの）,長野県長野市信更町高野1590,1,,,36.54874024,138.0348477,
36092,E2020100163112,長野県長野市,星空の郷たかの（／信更公民館分室）,長野県長野市信更町高野1590,1,,,36.54874024,138.0348477,
36093,E2020100164111,長野県長野市,旧更府小学校,長野県長野市信更町上尾2200,1,,,36.581312519507,138.05660537056,
36094,E2020100165111,長野県長野市,旧信更小学校,長野県長野市信更町田野口1082,1,,,36.56288404,138.0770267,
36095,E2020100166111,長野県長野市,長野市立信更中学校,長野県長野市信更町氷ノ田3273,1,,,36.57117459,138.0683003,
36096,E2020100167111,長野県長野市,本村公民館,長野県長野市信州新町越道1111,1,,,36.59654173,137.99857,
36097,E2020100168111,長野県長野市,万福寺,長野県長野市信州新町越道477,1,,,36.59260610174,138.00149083753,
36098,E2020100169111,長野県長野市,長野県篠ノ井高等学校犀峡校,長野県長野市信州新町下市場70,1,,,36.56209,137.9935859,
36099,E2020100170111,長野県長野市,下中山生活改善センター,長野県長野市信州新町弘崎1857-1,1,,,36.53981047,137.9883306,
36100,E2020100172111,長野県長野市,枌の木公民館,長野県長野市信州新町山上条3183-2,1,,,36.59595738,138.0156117,
36101,E2020100173111,長野県長野市,峰組公民館,長野県長野市信州新町山上条6400-2,1,,,36.593890503826,138.02388713781,
36102,E2020100171111,長野県長野市,津和コミュニティーセンター,長野県長野市信州新町山上条１３７６－イ,1,,,36.582183218281,137.99982235853,
36103,E2020100174111,長野県長野市,南部構造改善センター,長野県長野市信州新町山穂刈6069-1,1,,,36.57707518,137.9820416,
36104,E2020100176111,長野県長野市,信州新町体育館,長野県長野市信州新町新町1000-1,1,,,36.56755837,138.006694,
36105,E2020100177111,長野県長野市,長野市立信州新町中学校,長野県長野市信州新町新町1006,1,,,36.566089881153,138.0066827584,
36106,E2020100178111,長野県長野市,長野市立信州新町小学校,長野県長野市信州新町新町630-1,1,,,36.571454090381,138.00949168662,
36107,E2020100179111,長野県長野市,水内公民館,長野県長野市信州新町水内3718-2,1,,,36.57730454,138.0481217,
36108,E2020100180111,長野県長野市,竹房交流センター,長野県長野市信州新町竹房1025-1,1,,,36.56559,138.01316,
36109,E2020100181111,長野県長野市,信州新町信州犀川交流センター,長野県長野市信州新町日原西2287,1,,,36.54881800177,137.97431560862,
36110,E2020100182111,長野県長野市,牧郷研修センター,長野県長野市信州新町牧田中2195-3,1,,,36.550443800827,137.99701813738,
36111,E2020100183111,長野県長野市,牧野島公民館,長野県長野市信州新町牧野島167-2,1,,,36.560889112675,138.00055328885,
36112,E2020100184111,長野県長野市,信州新町保育園,長野県長野市信州新町里穂刈423-1,1,,,36.567884575692,138.00178052186,
36113,E2020100185111,長野県長野市,長野市立西部中学校,長野県長野市新諏訪1-4-1,1,,,36.65753298,138.1744533,
36114,E2020100186111,長野県長野市,長野市立真島小学校,長野県長野市真島町真島1425,1,,,36.60624869,138.2088211,
36115,E2020100190111,長野県長野市,長野市立青木島小学校,長野県長野市青木島町大塚1394,1,,,36.61335236,138.1850717,
36116,E2020100191111,長野県長野市,長野市立更北中学校,長野県長野市青木島町大塚51,1,,,36.605031215022,138.19194454457,
36117,E2020100194111,長野県長野市,長野市立川中島中学校,長野県長野市川中島町今井1360,1,,,36.60187784,138.1527932,
36118,E2020100195111,長野県長野市,川中島町公民館,長野県長野市川中島町今井1762-1,1,,,36.599135461277,138.15677532733,
36119,E2020100196111,長野県長野市,長野市立昭和小学校,長野県長野市川中島町今井1865,1,,,36.59175316,138.1533134,
36120,E2020100304121,長野県長野市,サンライズ長野川中島,長野県長野市川中島町今里135-2,,,在宅で人工呼吸器を装着している18歳未満の方等で個別避難計画により市が事前に特定した者,36.603712,138.154533,
36121,E2020100303121,長野県長野市,こすもけあくらぶ,長野県長野市川中島町今里87-6,,,在宅で人工呼吸器を装着している１８歳未満の方等で個別避難計画により市が事前に特定した者,36.603376,138.15611,
36122,E2020100197111,長野県長野市,川中島体育館,長野県長野市川中島町上氷鉋17-1,1,,,36.60479475,138.1555924,
36123,E2020100198111,長野県長野市,長野市立川中島小学校,長野県長野市川中島町上氷鉋172,1,,,36.60953191,138.1521804,
36124,E2020100200111,長野県長野市,長野市立浅川小学校,長野県長野市浅川東条337,1,,,36.68189607,138.2038613,
36125,E2020100201111,長野県長野市,和平地区センター,長野県長野市大岡乙1630,1,,,36.51505998,137.9779741,
36126,E2020100202111,長野県長野市,大岡文化センター（大岡公民館）,長野県長野市大岡乙252-1,1,,,36.50619499,137.9885136,
36127,E2020100203111,長野県長野市,根越地区センター,長野県長野市大岡乙5494,1,,,36.49566086,137.9599432,
36128,E2020100204111,長野県長野市,中部地区センター,長野県長野市大岡乙793-3,1,,,36.50278975,137.9786943,
36129,E2020100206111,長野県長野市,四ヶ村地区センター,長野県長野市大岡甲6945-2,1,,,36.52117947,137.9826812,
36130,E2020100207111,長野県長野市,大岡活性化センター,長野県長野市大岡甲7626-1,1,,,36.51664054,137.991636,
36131,E2020100208111,長野県長野市,中牧地区センター,長野県長野市大岡中牧1172-1,1,,,36.52225069,138.0095338,
36132,E2020100209111,長野県長野市,笹久地区センター,長野県長野市大岡丙3366,1,,,36.47691006363,137.97820498995,
36133,E2020100210111,長野県長野市,芦ノ尻地区センター,長野県長野市大岡丙4080,1,,,36.48826055,137.976013,
36134,E2020100212111,長野県長野市,長野市立安茂里小学校,長野県長野市大字安茂里1158,1,,,36.639036062506,138.17092905553,
36135,E2020100213111,長野県長野市,裾花体育館,長野県長野市大字安茂里1778-1,1,,,36.63680977,138.1724203,
36136,E2020100214111,長野県長野市,長野市立裾花中学校,長野県長野市大字安茂里2069,1,,,36.63378841194,138.17593979262,
36137,E2020100215111,長野県長野市,長野市立古里小学校,長野県長野市大字金箱439-2,1,,,36.67655554,138.2458407,
36138,E2020100216111,長野県長野市,長野市立芹田小学校,長野県長野市大字栗田16-2,1,,,36.633304092094,138.19958998876,
36139,E2020100218121,長野県長野市,清泉大学・清泉大学短期大学部　長野駅東口キャンパス,長野県長野市大字栗田2277,1,,在宅で人工呼吸器を装着している18歳未満の方等で個別避難計画により市が事前に特定した者,36.64327,138.1907,
36140,E2020100219111,長野県長野市,長野市立三陽中学校,長野県長野市大字高田1607,1,,,36.644345749837,138.22652110597,
36141,E2020100220111,長野県長野市,長野市立緑ケ丘小学校,長野県長野市大字高田2281,1,,,36.64066468,138.223369,
36142,E2020100222111,長野県長野市,長野市立古牧小学校,長野県長野市大字高田619-2,1,,,36.647605531754,138.21871816443,
36143,E2020100223111,長野県長野市,長野市立櫻ケ岡中学校,長野県長野市大字高田932,1,,,36.64484659,138.2047019,
