NO,共通ID,都道府県名及び市町村名,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
36178,E2020100268111,長野県長野市,中央区月夜棚生活センター,長野県長野市中条4134-1,1,,,36.613603470173,138.03202299889,
36179,E2020100270111,長野県長野市,田の入公民館,長野県長野市中条御山里4120-1,1,,,36.6268097,138.0192629,
36180,E2020100272111,長野県長野市,伊折区太田公民館,長野県長野市中条御山里7713-1,1,,,36.640591674747,138.01066048639,
36181,E2020100273111,長野県長野市,伊折区新井公民館,長野県長野市中条御山里8947,1,,,36.636145120312,138.00484009282,
36182,E2020100274111,長野県長野市,地京原振興館,長野県長野市中条御山里988-1,1,,,36.634490062442,138.02548171368,
36183,E2020100276111,長野県長野市,峰奈良井生活センター,長野県長野市中条住良木4292,1,,,36.625374761556,138.0060961881,
36184,E2020100278111,長野県長野市,青木農業振興館,長野県長野市中条住良木501,1,,,36.606854375199,138.02245177655,
36185,E2020100279111,長野県長野市,鳥々見生活センター,長野県長野市中条住良木5732-1,1,,,36.61575269,138.0058776,
36186,E2020100280111,長野県長野市,大野生活センター（大野公民館）,長野県長野市中条住良木6903,1,,,36.606487077005,138.00615724541,
36187,E2020100281111,長野県長野市,住良木団地公民館,長野県長野市中条住良木8383-2,1,,,36.605244088198,138.01056612958,
36188,E2020100282111,長野県長野市,田頭生活センター（田頭公民館）,長野県長野市中条住良木8981-1,1,,,36.60712131,138.0130016,
36189,E2020100283111,長野県長野市,里原生活センター,長野県長野市中条住良木9901,1,,,36.6157443,138.0166795,
36190,E2020100277111,長野県長野市,奈良井会館,長野県長野市中条住良木４４６３－イ,1,,,36.619780975157,138.00540555943,
36191,E2020100284111,長野県長野市,念仏寺生活センター,長野県長野市中条日下野3198-3,1,,,36.641247701258,138.05464206722,
36192,E2020100285111,長野県長野市,中条地域振興施設やきもち家,長野県長野市中条日下野5286-1,1,,,36.64329896,138.0389312,
36193,E2020100286111,長野県長野市,中内公民館,長野県長野市中条日下野670-2,1,,,36.62481417,138.0492721,
36194,E2020100287111,長野県長野市,下条生活センター,長野県長野市中条日下野7558,1,,,36.62767187,138.04018,
36195,E2020100288111,長野県長野市,五十里ふれあいセンター,長野県長野市中条日高1529-1,1,,,36.61298018,138.0575034,
36196,E2020100289111,長野県長野市,下長井公民館,長野県長野市中条日高3291-1,1,,,36.60416567,138.0508663,
36197,E2020100290111,長野県長野市,中長井振興館,長野県長野市中条日高3716-2,1,,,36.60703567,138.0450819,
36198,E2020100291111,長野県長野市,中条老人福祉センター,長野県長野市中条日高3964-2,1,,,36.611976910565,138.04076430037,
36199,E2020100292111,長野県長野市,上長井支館（上長井生活センター）,長野県長野市中条日高5637-2,1,,,36.59738236,138.034515,
36200,E2020100296111,長野県長野市,豊野東部地区集会所,長野県長野市豊野町蟹沢2758,1,,,36.72163507,138.304493,
36201,E2020100297111,長野県長野市,長野市立豊野西小学校,長野県長野市豊野町石1880,1,,,36.70890775,138.2632965,
36202,E2020100298111,長野県長野市,長野市立豊野東小学校,長野県長野市豊野町大倉2213,1,,,36.72817618,138.2936054,
36203,E2020100306111,長野県長野市,豊野防災交流センター,長野県長野市豊野町豊野426-28,1,,,36.708659,138.276983,
36204,E2020100300111,長野県長野市,豊野体育館,長野県長野市豊野町豊野624,1,,,36.71231933,138.2816947,
36205,E2020100301111,長野県長野市,長野市立豊野中学校,長野県長野市豊野町豊野814,1,,,36.712741102613,138.2823915478,
76761,E4320300002121,熊本県人吉市,特別養護老人ホーム龍生園,熊本県人吉市下原田町字瓜生田1057-9,,左記の者のうち、要介護者は家族付添い,高齢者（要配慮者）,32.230779713327,130.72016093431,
76762,E4320300034111,熊本県人吉市,中原コミュニティセンター,熊本県人吉市下原田町字荒毛2136,1,,,32.23171569,130.7243576,
76763,E4320300004111,熊本県人吉市,西瀬小学校,熊本県人吉市下戸越町1654-1,1,,,32.206405,130.736667,
76764,E4320300039111,熊本県人吉市,西瀬コミュニティセンター,熊本県人吉市下戸越町1678-1,,,,32.207001,130.73616,
76765,E4320300040121,熊本県人吉市,介護老人保健施設タンポポ,熊本県人吉市下漆田町1538,,,高齢者（要支援・介護認定を受けていない要配慮者）、その他、在宅で一般の避難所での生活では何らかの支障をきたす者（要付添）,32.190651260067,130.79348626089,
76766,E4320300006111,熊本県人吉市,人吉スポーツパレス,熊本県人吉市下城本町1566-1,1,,,32.21811533,130.7391314,
76767,E4320300008111,熊本県人吉市,東間コミュニティセンター,熊本県人吉市蟹作町1531-1,1,,,32.196393130208,130.77540201305,
76768,E4320300009121,熊本県人吉市,人吉市養護老人ホーム延寿荘,熊本県人吉市蟹作町211-1,,左記の者のうち、事前に市が特定し、環境調整を事前に行った者,高齢者（自立度の高い方）,32.193606128572,130.78143554054,
76769,E4320300009122,熊本県人吉市,障害者支援施設うぐいす,熊本県人吉市蟹作町211-1,,,知的障害者及びその家族,32.193247636663,130.78158320801,
76770,E4320300010121,熊本県人吉市,地域密着型特別養護老人ホームアゼリア,熊本県人吉市蟹作町3690,,左記の者のうち、事前に市が特定し、環境調整を事前に行った者,高齢者,32.195192246349,130.77488722577,
76771,E4320300011111,熊本県人吉市,中小企業大学校,熊本県人吉市鬼木町1769-1,1,,,32.230032195857,130.77695855616,
76772,E4320300013121,熊本県人吉市,障がい者支援施設けやき,熊本県人吉市合ノ原町461-2,,,市が特定した者で介助者同伴のみ,32.236021445962,130.74375697569,
76773,E4320300014121,熊本県人吉市,特別養護老人ホーム聖心ホーム,熊本県人吉市寺町9-5,,左記の者のうち、事前に市が特定し、環境調整を事前に行った者,高齢者,32.20686997871,130.76172723239,
76774,E4320300015111,熊本県人吉市,西瀬コミュニティセンター鹿目分館,熊本県人吉市鹿目町2515,1,,,32.19031104,130.6890843,
76775,E4320300016111,熊本県人吉市,人吉東小学校,熊本県人吉市七日町100-1,1,,,32.216283,130.766888,
76776,E4320300018111,熊本県人吉市,第三中学校,熊本県人吉市上田代町2008,1,,,32.16780161,130.8039627,
76777,E4320300019111,熊本県人吉市,第二中学校,熊本県人吉市上林町622,1,,,32.22168798,130.744083,
76778,E4320300021111,熊本県人吉市,球磨工業高校,熊本県人吉市城本町800,1,,,32.219248564488,130.75250332843,
76779,E4320300022111,熊本県人吉市,人吉西小学校,熊本県人吉市城本町873,1,,,32.2193424,130.754518,
76780,E4320300038111,熊本県人吉市,人吉市保健センター,熊本県人吉市西間下町118-1,1,,,32.205734,130.759307,
76781,E4320300038121,熊本県人吉市,人吉市保健センター,熊本県人吉市西間下町118-1,1,,視覚障害者、聴覚障害者,32.20572,130.759309,
76782,E4320300025111,熊本県人吉市,大畑コミュニティセンター,熊本県人吉市大畑町4071-2,1,,,32.16311136,130.8021827,
76783,E4320300026111,熊本県人吉市,大畑小学校,熊本県人吉市大畑町4097,1,,,32.16292151,130.8035476,
76784,E4320300037111,熊本県人吉市,中原小学校,熊本県人吉市中神町字段548,1,,,32.22480555,130.7195342,
76785,E4320300028111,熊本県人吉市,田野活性化センター,熊本県人吉市田野町3392-2,1,,,32.13821225,130.6822905,
76786,E4320300029111,熊本県人吉市,第一中学校,熊本県人吉市土手町36-3,1,,,32.207752,130.759332,
76787,E4320300030111,熊本県人吉市,東間小学校,熊本県人吉市東間下町2683,1,,,32.203725,130.766611,
76788,E4320300031111,熊本県人吉市,人吉商工会議所,熊本県人吉市南泉田町3-3,,,,32.217517274642,130.76122109456,
76789,E4320300032111,熊本県人吉市,人吉高校,熊本県人吉市北泉田町350,1,,,32.22047595833,130.76788229692,
